comp_nome;arq1.rtf;arq1.txt;similaridade:100.00%;
comp_content;arq1.txt;arq2.txt;similaridade:100.00%;
comp_content;arq1.txt;arq3.txt;similaridade:0.00%;
comp_content;arq1.txt;arq4.txt;similaridade:0.00%;
comp_content;arq2.txt;arq1.txt;similaridade:100.00%;
comp_content;arq2.txt;arq3.txt;similaridade:0.00%;
comp_content;arq2.txt;arq4.txt;similaridade:0.00%;
comp_content;arq3.txt;arq1.txt;similaridade:0.00%;
comp_content;arq3.txt;arq2.txt;similaridade:0.00%;
comp_content;arq3.txt;arq4.txt;similaridade:92.86%;
comp_content;arq4.txt;arq1.txt;similaridade:0.00%;
comp_content;arq4.txt;arq2.txt;similaridade:0.00%;
comp_content;arq4.txt;arq3.txt;similaridade:92.86%;
